Languages,1SG,cognacy,2SG,cognacy,3SG,cognacy,ant,cognacy,arm/hand,cognacy,ash,cognacy,big,cognacy,bird,cognacy,bite,cognacy,bitter,cognacy,black,cognacy,blood,cognacy,bone,cognacy,breast,cognacy,to burn (it.),cognacy,to carry (on back),cognacy,cloud,cognacy,to cry/weep,cognacy,to die,cognacy,to do/make,cognacy,dog,cognacy,drink,cognacy,dry,cognacy,ear,cognacy,eat,cognacy,egg,cognacy,eye,cognacy,far,cognacy,fat,cognacy,fingernail,cognacy,fire,cognacy,fish,cognacy,flesh/meat,cognacy,to fly,cognacy,full,cognacy,to give,cognacy,to go,cognacy,good,cognacy,hair on head,cognacy,hard,cognacy,head,cognacy,to hear,cognacy,heavy,cognacy,to hide,cognacy,to kill,cognacy,horn,cognacy,house,cognacy,in,cognacy,knee,cognacy,to know,cognacy,to laugh,cognacy,leaf,cognacy,leg/foot,cognacy,liver,cognacy,long,cognacy,louse,cognacy,moon,cognacy,mouth,cognacy,name,cognacy,navel,cognacy,neck,cognacy,new,cognacy,nose,cognacy,not,cognacy,old of things,cognacy,one,cognacy,path,cognacy,rain,cognacy,red,cognacy,root,cognacy,to run,cognacy,salt,cognacy,sand,cognacy,to say,cognacy,to see,cognacy,to sit,cognacy,skin/hide,cognacy,to sleep,cognacy,small,cognacy,smoke,cognacy,stand,cognacy,star,cognacy,stone/rock,cognacy,sun,cognacy,sweet,cognacy,tail,cognacy,to take,cognacy,thick,cognacy,this,cognacy,tongue,cognacy,tooth,cognacy,water,cognacy,what?,cognacy,white,cognacy,who?,cognacy,wind,cognacy,wing,cognacy,woman,cognacy,wood,cognacy,yesterday,cognacy
#Wordlist,45,LS,100,LS,38,L,1,L,2,LS,3,LS,5,LS,6,LS,7,LS,8,L,9,LS,10,LS,12,LS,13,LS,14,LS,15,L,72,S,19,L,18,S,20,L,21,LS,22,LS,89,S,23,LS,24,LS,25,LS,26,LS,28,L,4,S,11,S,29,LS,30,LS,31,LS,32,LS,95,LS,33,LS,34,L,35,LS,36,LS,37,L,87,S,39,LS,40,L,41,L,42,LS,43,LS,44,L,46,L,47,LS,48,LS,49,L,50,LS,51,LS,52,LS,53,LS,54,LS,60,L,55,LS,56,LS,57,L,58,LS,59,LS,61,LS,62,L,63,L,64,L,68,S,65,LS,66,LS,67,LS,69,1,70,L,71,LS,73,LS,74,LS,82,S,75,LS,27,LS,76,LS,77,LS,79,LS,80,LS,81,LS,78,S,83,L,84,LS,85,L,86,L,88,L,90,LS,91,LS,92,LS,93,L,17,S,94,LS,96,L,97,L,16,S,98,L,99,L
Duhumbi,ga,1,naŋ,1,wɔj,1,kʰin-ʨʰɔk,1,hut,1,ʨʰu-pʰak,1,ɔ-dɔk,1,hwa,1,zɛk,1,ʨʰak-ba,1,u-ʨʰam,1,hɔj,1,ɕa-kʰus,1,nu,1,haj,1,bu,1,mukpa,1,kʰip,1,i,1,le,1,wa-tʰi,1,ɲiŋ,1,wa-ar,1,kʰu-tʰuŋ,1,ʨʰa,1,hɔj-ʥɔŋ,1,kʰu-m,3,tʰa-u-ɹiŋ,1,ɔ-jɔw,1,hut-ʦun,1,bɛj,1,ŋa,1,ɕa,1,ɕɛɹ,1,pɕiŋ-ba,1,ɕi,1,wa,1,ɔ-ʥɔp,1,kʰu-ɕaŋ,1,kaktar,1,kʰɔ-lɔk,1,ʥas,1,u-li,1,uk,1,at,1,kʰɛŋ,1,wam,1,naŋ,1,kɔːlɔk-pa,1,dɛn,1,ʑɛj,1,u-lap,1,lɛj,1,ɕa taŋku,1,u-riŋ,1,hɛk,1,nam-ba,1,hɔ-ʨu,1,biŋ,1,bɔː-di,1,hɛn-tʰɔŋ,1,ɔ-kʰɔn,1,hɛm-pʰɔŋ,1,ba-,1,ɔ-mɛn,1,hin,1,huma,1,na-mu,1,ɔ-kʰek,1,ra-ba,1,dur,1,ha,1,beʦa,1,in,1,aj,1,ʥu,1,ɕa-kʰɔk,1,min,2,ka-ti,1,bu-kʰu,1,kʰiŋ,1,kaɹma,1,luŋ,1,na-mi,1,jɔŋ-jɔŋ,1,ɲɔj,1,tʰɔn,1,ɔ-tʰɛs,1,ɔ-ʨʰi,1,lɔj,1,hin-tuŋ,1,kʰow,1,a-be,1,jaŋ-kaɹ,1,mi,1,nam-suŋ,1,pɛmpu,1,ʥu-mu,1,ɕiŋ,1,dɛj-ju,1
Khispi,ga,1,naŋ,1,wuj,1,kʰe-ʨʰɔk,1,hut,1,ʨʰu-pʰa,1,ɔ-dɔk,1,hwa,1,zɛk,1,ʨʰak-ba,1,u-ʨʰam,1,hɔj,1,ɕa-kʰus,1,ɲu,1,haj,1,bu,1,tɔŋ-ti,2,kʰip,1,i,1,li,1,wa-tʰi,1,ɲiŋ,1,ɔ-wal,1,kʰu-tʰuŋ,1,ʨʰa,1,ɔ-gɔŋ,2,kʰu-mɔː,3,tʰa-u-liŋ,1,ɔ-ju,1,hut-ʦin,1,bej,1,ŋa,1,ɕa,1,ɕɛl,1,pɕiŋ-ba,1,ɕi,1,wa,1,nak-pa,2,kʰu-ɕaŋ,1,kaktal,1,kʰɔ-lɔk,1,kʰa la,2,u-li,1,uk,1,at,1,kʰɛŋ,1,wam,1,naŋ,1,kɔːlɔk-pa,1,dɛn,1,ʑej,1,u-lap,1,lej,1,ɕap-ɕin,2,u-liŋ,1,hɛk,1,nam-ba,1,hɔ-ʨɔ,1,biŋ,1,bɔː-di,1,hɛn-tʰɔŋ,1,ɔ-han,1,hɛm-pʰɔŋ,1,ba-,1,ɔ-mɛn,1,hin,1,huma,1,na-mu,1,ɔ-hɛk,1,hiŋŋa lej,2,dul,1,ha,1,beʦa,1,in,1,aj,1,ʥu,1,ɕa-kʰɔk,1,min,2,ɕa-da,10,bu-kʰu,1,kʰiŋ,1,kalma,1,luŋ,1,na-mi,1,ɔ-bej-da,2,ɲuj,1,tʰɔn,1,ɔ-tʰɛs,1,u-ʨʰi,1,luj,1,ɕin-tuŋ,1,kʰaw,1,a-be,1,jaŋ-kal,1,mi,1,nam-suŋ,1,ɲuj-pʰa,2,ʥu-mu,1,hiŋ,1,di-ju,1
Rupa,gu,1,naŋ,1,wa,1,san-ʥɔk,1,ik,2,ʨʰa-pʰluː,1,a-dɔk,1,hu,1,zɛk,1,ʨʰɐk,1,a-ʨʰũː,1,haː,1,s-kik,1,ɲyŋ,2,haː,1,byː,1,s-ty,2,kʰe,1,iː,1,ra,1,bə-tʰaː,1,liŋ,2,ɔ-ɔ̃ː,1,gə-tʰyŋ,1,ʦʰu,1,a-juŋ,3,kʰa-by,1,a-ʨʰɔ̃ː,2,a-jɔː,1,ik-ʦiŋ,1,ba,1,ɲu,1,su,1,ʨʰan,1,pʰiŋ-ba,1,ʨʰi,1,rɔ,2,a-ʥap,1,gə-zaŋ,1,a-ʨu,2,kʰ-ruk,1,jɔ,3,a-liː,1,uk,1,ɔ,1,kʰɛŋ,1,jam,1,a-lyŋ,2,lə-pʰyk,2,dan,1,zaː,1,a-lap,1,la,1,a-ʦʰɛ̃ː,3,a-rɛŋ,1,hɛk,1,nam-blu,1,nə-ʦʰaw,1,a-zɛŋ,1,b-raː,1,tʰuŋ-ʦɛ̃ː,1,a-fan,1,nə-pʰuŋ,1,bə-,1,a-man,1,han,1,ləmu,1,nə-ʦʰuː,2,ə-hɛk,1,ə-hĩː,3,ʨʰaː,2,hũː,2,mə-kʰɔ,2,am,1,ɔː,1,ʥau,1,s-kuk,1,ʥiŋ,1,a-ʨan-du,3,ba-kʰy,1,kʰĩː,1,zyk,2,lýŋ,1,nə-nyː,2,a-ʨĩː,7,a-ɲaː,1,tʰøː,1,a-tʰat,1,tʰwa,2,laː-pʰɔ̃,1,tɔkʨʰeː,2,kʰoː,1,musi aː,2,a-zɔ̃ː,2,ɲiː,1,nə-sɔm,1,nə-pʰaŋ,2,ʥə-my,1,hiŋ,1,di-jau,1
Shergaon,gu,1,naŋ,1,wa,1,san-ʥɔk,1,ik,2,ʨʰa-pʰuː,1,a-dɔk,1,hu,1,zɛk,1,a-ʨʰak,1,a-ʨʰɔ̃ː,1,haː,1,s-kit,1,ɲuŋ,2,haː,1,byː,1,sin-ty,2,kʰe,1,iː,1,ra,1,pʰ-tʰaː,1,iŋ,2,ɔ-ɔ̃ː,1,kʰə-tʰuŋ-lap,1,ʨʰu,1,kʰlɔm,4,kʰi-biː,1,a-ʨʰɔ̃ː,2,a-jɔː,1,ik-ʨiŋ,1,ba,1,ɲu,1,su,1,ʨʰan,1,pʰiŋ-ba,1,kʰji,1,ro,2,a-ʥap,1,gə-zaŋ,1,a-ʨu,2,kʰ-ruk,1,jo,3,a-liː,1,uk,1,o,1,kʰɛŋ,1,jam,1,a-luŋ,2,kʰlɔk-puː,1,dan,1,zaː,1,a-lap,1,la,1,a-ʨʰĩː,3,a-rɛŋ,1,hɛk,1,nam-blu,1,nə-ʨʰaw,1,a-zɛŋ,1,bu-ti-muː,1,takraː,2,u-fan,1,nə-pʰuŋ,1,bə-,1,a-man,1,han,1,ləmu,1,ɲi-mi,1,ə-hɛk,1,ra-bɔː,1,ʨʰaː,2,huŋ,2,beʦɔ,1,am,1,ɔː,1,ʥau,1,s-kuk,1,ʥin,1,a-ʨan-du,3,ba-kʰy,1,kʰĩː,1,ʨʰu-zuk,2,luŋ,1,nə-niː,2,a-ʨĩː,7,a-ɲaː,1,tʰɛː,1,a-tʰɛt,1,tʰa,2,laː,1,nə-tʰuŋ,1,kʰoː,1,mə-raː,2,a-zɔ̃ː,2,ɲiː,1,nə-sɔm,1,lə-pʰaŋ,2,ʥə-mi,1,hiŋ,1,NA,
Rahung,gu,1,naŋ,1,hɛ ~ ʔɛ,1,saŋ-ʥɔk,1,ik,2,ʨʰa-pʰluː,1,a-dɔk,1,hu,1,zɛk,1,ʨʰak,1,a-ʨʰũː,1,hɛː,1,s-kik,1,nyŋ,2,hɛː,1,byː,1,syn-ty,2,ʨʰe,1,iː,1,rɛ ~ ra,1,pʰ-tʰɛː,1,liŋ,2,ɔ-ɔ̃ː,1,kʰ-tʰyŋ,1,ʨʰu,1,a-juŋ,3,kʰa-by,1,a-ʨʰɔ̃ː,2,a-jɔw,1,ik-ʨiŋ,1,bɛ,1,nu,1,su,1,ʨʰɛm,1,a-pʰiŋ,1,ʨʰi,1,rɔ,2,a-ʥap,1,gə-zaŋ,1,a-ʨu,2,kʰ-ruk,1,jɔ̃,3,a-liː,1,uk,1,ɔ,1,ʨʰɛŋ,1,jam,1,a-lyŋ,2,la-pʰik kʰɔm,2,dɛn,1,zɛː,1,a-rap,1,lɛ,1,a-ʨʰĩː,3,a-rɛŋ,1,hɛk,1,nam-bru,1,ʨʰə-ʨʰoː,1,a-ʥɛŋ,1,b-rɛː,1,pʰ-tʰuŋ,1,a-hɛn,1,ma-pʰuŋ,1,bə-,1,a-mɛn,1,hɛn,1,lym,1,pʰ-ʨʰu,2,ə-hɛk,1,i-hĩː,3,ʨɛː,2,hũŋ,2,kʰə-bɔ,3,an,1,ɔː,1,ʥo,1,s-kuk,1,ʥiŋ,1,ʨɔ̃ː-du,3,ba-kʰy,1,ʨʰĩː,1,ʨʰyŋ-zyk,2,rýŋ,1,nə-miː,1,ʨĩː,7,a-nɛʰ,1,tʰɛn,1,a-tʰɛ,1,tʰə,2,lɛː,1,pʰ-tʰyŋ,1,kʰoː ~ kʰow,1,pʰ-ʨʰɔ̃ː waː,3,a-zɔ̃ː,2,miː,1,p-søm,1,mə-pʰaŋ,2,ʥə-my,1,hiŋ,1,ʥɔ-hɔː ~ ʥoː,1
Khoitam,gu,1,naŋ,1,wa-ʥi,1,saŋ-ʥɔk,1,ik,2,ʨʰa-pʰluː,1,a-dɔk,1,hu,1,zɛk,1,ʨʰak,1,a-ʨʰũː,1,hɛː,1,sə-kik ~ s-kik,1,nyŋ,2,hɛː,1,byː,1,syŋ-ty,2,ʨʰe,1,iː,1,rɛ,1,pʰ-tʰɛː,1,liŋ,2,yk-ãː,1,kʰ-tʰyŋ,1,ʨʰu,1,a-juŋ,3,kʰa-by,1,a-ʨʰɔ̃ː,2,a-jɔː,1,ik-ʦiŋ,1,bɛ,1,nu,1,su,1,ʨʰan,1,a-pʰiŋ,1,ʨʰi,1,rɔ,2,a-ʥap,1,gə-zaŋ,1,a-ʨu,2,kʰ-ruk,1,jɔ̃,3,a-liː,1,uk,1,ɔ,1,ʨʰɛŋ,1,jam,1,a-lyŋ,2,lə-pʰik kʰɔm,2,dɛn,1,zɛː,1,a-rap,1,lɛ,1,sə-sĩː,2,a-rɛŋ,1,hɛk,1,nam-blu,1,ʨʰə-sɔː,1,a-ʥɛŋ,1,b-rɛː,1,nə-tʰuŋ,1,a-fan,1,nə-pʰuŋ,1,bə-,1,a-man,1,han,1,lym,1,nə-ʨʰu,2,ə-hɛk,1,a-hĩː,3,riŋ,3,huŋ,2,kʰə-pʰɔ,3,an,1,nũː (-ʨʰi),2,ʥɔː,1,s-kuk,1,ʥiŋ,1,a-ʥan-du,3,ba-kʰy,1,ʨʰĩː,1,ʨʰyŋ-zyk,2,rýŋ,1,nə-miː,1,ʨĩː,7,a-nɛʰ,1,tʰĩː,1,a-tʰɛ,1,tʰɛː,2,lɛː,1,nə-tʰyŋ,1,kʰɔː ~ kʰoː,1,a-ti jaː,4,a-zɔ̃ː,2,miː,1,ny-sɔm,1,nə-pʰaŋ,2,ʥə-my,1,hiŋ,1,ʥy-jɔː,1
Jerigaon,gu,1,naŋ,1,wa,1,san-ʥɔk,1,ik,2,ʨʰa-pʰluː,1,a-dɔk,1,hu,1,zɛk,1,ʨʰak,1,a-ʨʰũː,1,hɛː,1,i-hik,1,nyŋ,2,hɛː,1,byː,1,s-ty,2,ʨʰe,1,iː,1,ra,1,pʰ-tʰɛː,1,liŋ,2,yk-ãː,1,kʰ-tʰyŋ-lɛ,1,ʨʰu,1,a-juŋ,3,kʰa-by,1,a-ʨʰãː,2,a-jɔː,1,ik-ʨʰiŋ,1,bɛ,1,nu,1,su,1,ʨʰɛn,1,a-pʰiŋ,1,ʨʰi,1,rɔ,2,a-ʥɛ,1,gə-zaŋ,1,a-ʨu,2,kʰ-ruk,1,jɔ̃,3,a-liː,1,uk,1,ɔ,1,ʨʰɛŋ,1,jan ~ jɛn,1,a-lyŋ,2,la-pʰyk kriː,2,dɛn,1,zɛː,1,a-lɛ,1,lɛ,1,sɛ̃j ~ sɛ̃ĩ,2,a-rɛŋ,1,hɛ,1,nam-blu,1,sɔː,1,a-ʥɛŋ,1,b-raː,1,NA,,ə-hɛn,1,nə-pʰuŋ,1,bə-,1,a-mɛn,1,hɛn,1,hamu,1,nə-ʨʰu,2,ə-hɛk,1,i-hĩː,3,lɛ ʔikʰɛn,4,huŋ,2,kʰ-pʰa,3,ɛn,1,NA,,ʥɔː,1,s-kuk,1,ʥiŋ,1,a-du-du,2,ba-kʰy,1,ʨʰĩː,1,də-zyk,2,lýŋ,1,nə-nyː,2,a-blã,2,a-nɛʰ,1,tʰøː(n),1,a-tʰɛ,1,tʰaː,2,lɛː,1,nə-tʰyŋ,1,kʰɔː,1,mə-tiː ja,4,a-zãː,2,niː,1,nə-søn,1,ny-pʰaŋ,2,ʥə-my,1,hiŋ,1,dy-jɔː,1
Khoina,gu,1,naŋ,1,laŋ-wa,1,ʂan-ʥɔk,1,ik,2,ʥɐ-pʰluː,1,a-dɔk,1,fu,1,NA,,a-ʨʰak,1,a-tʂʰũː,1,xaː,1,a-xyk,1,nyŋ,2,haː,1,byː,1,ɕ-tỹ,2,tʂʰe,1,iː,1,ra,1,bə-tʰaː,1,lyŋ,2,ɔ-ɔ̃ː,1,ga-tʰyŋ,1,ʦʰu,1,a-juŋ,3,ga-by,1,a-ʨʰɔ̃ː,2,a-jɔː,1,ik-ʦiŋ,1,ba,1,nu,1,ʂu,1,ʦʰɛn,1,a-pʰiŋ,1,ʦʰi,1,rɔ,2,a-dʐa,1,gə-ʐaŋ,1,a-xãŋ,3,mə-tʰɛ̃n,2,jɔ̃,3,a-liː,1,uk,1,ɔ,1,tʂʰajŋ,1,jan,1,a-lyŋ,2,ja-pʰyk kraː,2,dɛn,1,ʐaː,1,a-laʔ,1,la,1,də-ʨɛ̃ː,3,a-rɛŋ,1,xɛk,1,nam-blu,1,də-ʦʰɛː,1,a-ʣɛŋ,1,b-raː,1,nə-tu-xĩː,1,a-fɛn,1,nə-pʰuŋ,1,bə-,1,a-mɛn,1,hɛn,1,ham,1,naː-ʦʰu,2,a-xɛk,1,a-xĩː,3,ʦʰɔː,2,hũː,2,gə-pʰa,3,ɛn,1,nɔ̃ː-ʨʰi,2,ʣɔː,1,ʂ-kʰuk,1,ʣiŋ,1,a-ʥãn-du,3,ba-kʰy,1,tʂʰĩː,1,dy-ʐyk,2,lýŋ,1,naː-nyː,2,a-ʦĩː,7,a-naːʰ,1,tʰøː,1,a-tʰɛ,1,tʰaː,2,laː,1,ny-tʰyŋ,1,kʰɔː,1,mə-tiː ja,4,a-zãː,2,niː,1,na-søn,1,ny-pʰaŋ,2,ʥə-my,1,hiŋ,1,dy-jɔː,1
